date,fips,cases,deaths
2/17/2020,48029,2,0
2/17/2020,53061,1,0
2/17/2020,55025,1,0
2/18/2020,4013,1,0
2/18/2020,6037,1,0
2/18/2020,6059,1,0
2/18/2020,6073,1,0
2/18/2020,6075,2,0
2/18/2020,6085,2,0
2/18/2020,17031,2,0
2/18/2020,25025,1,0
2/18/2020,31055,10,0
2/18/2020,48029,2,0
2/18/2020,53061,1,0
2/18/2020,55025,1,0
2/19/2020,4013,1,0
2/19/2020,6037,1,0
2/19/2020,6059,1,0
2/19/2020,6073,1,0
2/19/2020,6075,2,0
2/19/2020,6085,2,0
2/19/2020,17031,2,0
2/19/2020,25025,1,0
2/19/2020,31055,10,0
2/19/2020,48029,2,0
2/19/2020,53061,1,0
2/19/2020,55025,1,0
2/20/2020,4013,1,0
2/20/2020,6023,1,0
2/20/2020,6037,1,0
2/20/2020,6059,1,0
2/20/2020,6073,1,0
2/20/2020,6075,2,0
2/20/2020,6085,2,0
2/20/2020,17031,2,0
2/20/2020,25025,1,0
2/20/2020,31055,11,0
2/20/2020,48029,2,0
2/20/2020,53061,1,0
2/20/2020,55025,1,0
2/21/2020,4013,1,0
2/21/2020,6023,1,0
2/21/2020,6037,1,0
2/21/2020,6059,1,0
2/21/2020,6067,1,0
2/21/2020,6073,1,0
2/21/2020,6075,2,0
2/21/2020,6085,2,0
2/21/2020,17031,2,0
2/21/2020,25025,1,0
2/21/2020,31055,11,0
2/21/2020,48029,4,0
2/21/2020,53061,1,0
2/21/2020,55025,1,0
2/22/2020,4013,1,0
2/22/2020,6023,1,0
2/22/2020,6037,1,0
2/22/2020,6059,1,0
2/22/2020,6067,1,0
2/22/2020,6073,1,0
2/22/2020,6075,2,0
2/22/2020,6085,2,0
2/22/2020,17031,2,0
2/22/2020,25025,1,0
2/22/2020,31055,11,0
2/22/2020,48029,4,0
2/22/2020,53061,1,0
2/22/2020,55025,1,0
2/23/2020,4013,1,0
2/23/2020,6023,1,0
2/23/2020,6037,1,0
2/23/2020,6059,1,0
2/23/2020,6067,1,0
2/23/2020,6073,1,0
2/23/2020,6075,2,0
2/23/2020,6085,2,0
2/23/2020,17031,2,0
2/23/2020,25025,1,0
2/23/2020,31055,11,0
2/23/2020,48029,4,0
2/23/2020,53061,1,0
2/23/2020,55025,1,0
2/24/2020,4013,1,0
2/24/2020,6023,1,0
2/24/2020,6037,1,0
2/24/2020,6059,1,0
2/24/2020,6067,1,0
2/24/2020,6073,1,0
2/24/2020,6075,3,0
2/24/2020,6085,2,0
2/24/2020,6095,1,0
2/24/2020,17031,2,0
2/24/2020,25025,1,0
2/24/2020,31055,12,0
2/24/2020,48029,10,0
2/24/2020,53061,1,0
2/24/2020,53063,4,0
2/24/2020,55025,1,0
2/25/2020,4013,1,0
2/25/2020,6023,1,0
2/25/2020,6037,1,0
2/25/2020,6059,1,0
2/25/2020,6067,1,0
2/25/2020,6073,1,0
2/25/2020,6075,3,0
2/25/2020,6085,2,0
2/25/2020,6095,1,0
2/25/2020,17031,2,0
2/25/2020,25025,1,0
2/25/2020,31055,13,0
2/25/2020,48029,10,0
2/25/2020,49035,1,0
2/25/2020,53061,1,0
2/25/2020,53063,4,0
2/25/2020,55025,1,0
2/26/2020,4013,1,0
2/26/2020,6023,1,0
2/26/2020,6037,1,0
2/26/2020,6041,1,0
2/26/2020,6055,1,0
2/26/2020,6059,1,0
2/26/2020,6067,3,0
2/26/2020,6073,1,0
2/26/2020,6075,3,0
2/26/2020,6085,2,0
2/26/2020,6095,11,0
2/26/2020,6097,1,0
2/26/2020,17031,2,0
2/26/2020,25025,1,0
2/26/2020,31055,13,0
2/26/2020,48029,10,0
2/26/2020,49035,1,0
2/26/2020,53061,1,0
2/26/2020,53063,4,0
2/26/2020,55025,1,0
2/27/2020,4013,1,0
2/27/2020,6023,1,0
2/27/2020,6037,1,0
2/27/2020,6041,1,0
2/27/2020,6055,1,0
2/27/2020,6059,1,0
2/27/2020,6067,3,0
2/27/2020,6073,1,0
2/27/2020,6075,3,0
2/27/2020,6085,2,0
2/27/2020,6095,11,0
2/27/2020,6097,1,0
2/27/2020,17031,2,0
2/27/2020,25025,1,0
2/27/2020,31055,13,0
2/27/2020,48029,10,0
2/27/2020,49035,1,0
2/27/2020,53061,1,0
2/27/2020,53063,4,0
2/27/2020,55025,1,0
2/28/2020,4013,1,0
2/28/2020,6023,1,0
2/28/2020,6037,1,0
2/28/2020,6041,1,0
2/28/2020,6055,1,0
2/28/2020,6059,1,0
2/28/2020,6067,3,0
2/28/2020,6073,1,0
2/28/2020,6075,3,0
2/28/2020,6085,3,0
2/28/2020,6095,11,0
2/28/2020,6097,1,0
2/28/2020,17031,2,0
2/28/2020,25025,1,0
2/28/2020,31055,13,0
2/28/2020,41067,1,0
2/28/2020,48029,11,0
2/28/2020,49035,1,0
2/28/2020,53033,1,0
2/28/2020,53061,2,0
2/28/2020,53063,4,0
2/28/2020,55025,1,0
2/29/2020,4013,1,0
2/29/2020,6023,1,0
2/29/2020,6037,1,0
2/29/2020,6041,1,0
2/29/2020,6055,1,0
2/29/2020,6059,1,0
2/29/2020,6067,3,0
2/29/2020,6073,1,0
2/29/2020,6075,3,0
2/29/2020,6085,4,0
2/29/2020,6095,11,0
2/29/2020,6097,1,0
2/29/2020,17031,3,0
2/29/2020,25025,1,0
2/29/2020,31055,13,0
2/29/2020,41067,1,0
2/29/2020,48029,11,0
2/29/2020,49035,1,0
2/29/2020,53033,4,1
2/29/2020,53061,2,0
2/29/2020,53063,4,0
2/29/2020,55025,1,0
3/1/2020,4013,1,0
3/1/2020,6001,1,0
3/1/2020,6023,1,0
3/1/2020,6037,1,0
3/1/2020,6041,1,0
3/1/2020,6055,1,0
3/1/2020,6059,1,0
3/1/2020,6067,3,0
3/1/2020,6073,1,0
